state,effective_date,company_name,line_of_business,sub_type_of_insurance,overall_indicated_change,overall_rate_impact,written_premium_change,policyholders_affected,written_premium_for_program,maximum_percent_change,minimum_percent_change,rate_activity,serff_tracking_number,disposition_status,filing_date,source_pdf
CO,04/02/2026,GEICO Indemnity Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,2036,5840869,20.400%,-24.800%,rate_change,GECC-134855405,Filed,2026-02-26,output/pdfs/CO/134855405/filing_summary.pdf
CO,04/02/2026,GEICO Casualty Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,91970,202911983,40.200%,-24.400%,rate_change,GECC-134855405,Filed,2026-02-26,output/pdfs/CO/134855405/filing_summary.pdf
CO,04/02/2026,GEICO General Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,10392,23811967,32.400%,-33.500%,rate_change,GECC-134855405,Filed,2026-02-26,output/pdfs/CO/134855405/filing_summary.pdf
CO,04/02/2026,Government Employees Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,3767,9904386,17.800%,-26.000%,rate_change,GECC-134855405,Filed,2026-02-26,output/pdfs/CO/134855405/filing_summary.pdf
CO,04/02/2026,GEICO Choice Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,13868,33792307,42.900%,-23.500%,rate_change,GECC-134855405,Filed,2026-02-26,output/pdfs/CO/134855405/filing_summary.pdf
CO,04/02/2026,GEICO Secure Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,92440,231003997,50.200%,-30.300%,rate_change,GECC-134855405,Filed,2026-02-26,output/pdfs/CO/134855405/filing_summary.pdf
CO,07/03/2025,GEICO Indemnity Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,2112,6572372,7.420%,-10.170%,rate_change,GECC-134532692,Filed,2025-05-23,output/pdfs/CO/134532692/filing_summary.pdf
CO,07/03/2025,GEICO Casualty Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,95787,254065149,30.380%,-23.560%,rate_change,GECC-134532692,Filed,2025-05-23,output/pdfs/CO/134532692/filing_summary.pdf
CO,07/03/2025,GEICO General Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,10839,26803814,8.510%,-11.790%,rate_change,GECC-134532692,Filed,2025-05-23,output/pdfs/CO/134532692/filing_summary.pdf
CO,07/03/2025,Government Employees Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,3979,10943770,7.040%,-11.790%,rate_change,GECC-134532692,Filed,2025-05-23,output/pdfs/CO/134532692/filing_summary.pdf
CO,07/03/2025,GEICO Choice Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,13867,30098648,18.970%,-14.320%,rate_change,GECC-134532692,Filed,2025-05-23,output/pdfs/CO/134532692/filing_summary.pdf
CO,07/03/2025,GEICO Secure Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,93994,211526381,18.970%,-14.320%,rate_change,GECC-134532692,Filed,2025-05-23,output/pdfs/CO/134532692/filing_summary.pdf
CO,01/09/2026,GEICO Indemnity Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,2036,6572372,7.530%,-8.420%,rate_change,GECC-134788014,Filed,2026-01-05,output/pdfs/CO/134788014/filing_summary.pdf
CO,01/09/2026,GEICO Casualty Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,91970,254065149,28.970%,-25.040%,rate_change,GECC-134788014,Filed,2026-01-05,output/pdfs/CO/134788014/filing_summary.pdf
CO,01/09/2026,GEICO General Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,10392,26803814,8.500%,-11.740%,rate_change,GECC-134788014,Filed,2026-01-05,output/pdfs/CO/134788014/filing_summary.pdf
CO,01/09/2026,Government Employees Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,3767,10943770,6.190%,-11.740%,rate_change,GECC-134788014,Filed,2026-01-05,output/pdfs/CO/134788014/filing_summary.pdf
CO,01/09/2026,GEICO Choice Insurance Company,19.0 Personal Auto,19.0001 Private Passenger Auto (PPA),0.000%,0.000%,0,13868,30098648,17.990%,-13.460%,rate_change,GECC-134788014,Filed,2026-01-05,output/pdfs/CO/134788014/filing_summary.pdf
